Timestamp	File name	Processed items	Extracted items	Skipped items	Moved Y/N
2026-04-23 10:29:42	0000.03980.pdf	0	0	0	Y
2026-04-23 10:29:42	0000.04031.pdf	1	1	0	N
2026-04-23 10:29:42	0000.04032.pdf	2	2	0	N
2026-04-23 10:29:42	0000.04033.pdf	10	10	0	N
2026-04-23 10:29:42	0000.04034.pdf	36	36	0	N
2026-04-23 10:29:42	601L.00293.pdf	2	4	0	N
2026-04-23 10:29:42	603Z.00041.pdf	2	2	0	N
2026-04-23 10:29:42	60AZ.00333.pdf	1	1	0	N
2026-04-23 10:29:42	60CW.00058.pdf	2	2	0	N
2026-04-23 10:29:42	Test1.pdf	0	0	0	Y
2026-04-23 10:29:42	Test2.pdf	0	0	0	Y
2026-04-23 10:29:42	Test3.pdf	2	2	0	N
2026-04-23 10:29:42	Test4.pdf	0	0	0	Y
